,0
0,"Era algo obvio por algo el cuerpo sube su temperatura para combatir a los virus, lo que pasa es que si sube demasiado se muere el virus y nosotros tambien xD "
1,"Quienes crearon esta imagen con la palabara ""LA COVID-19"" seguramente tambien escriban ""LA CALOR"" cuando quieren referirse a temperaturas ambientales elevadas "
2,"Terrible sintaxis de un articulo al cual la forma destruye el fondo , el contenido . !Una porqueria quien redacto esto!"
3,"""tuvo"" del verbo ""tener"" y ""tubo"" seccion cilindrica por donde puede pasar un liquido o gas, ""la covid - 19"" ha sido femenino, pense que era ""el virus"". Que fea redaccion!!!"
4,"Senores es TUBO de acero, no TUVO de acero "
5,"Osea que para matar al virus a 72deg en vez de usar un atomizador, utilizo un lanzallamas? Solo digo ... :V"
6,"SENORES METRO ECUADOR NO ES TUVO (VERBO TENER) DE ACERO, LA PALABRA CORRECTA ES ""TUBO"" DE ACERO."
7,"Pasteurizacion es el proceso y el resultado de pasteurizar. Este verbo hace referencia a la accion de incrementar la temperatura de un producto alimenticio en estado liquido a un nivel que resulta apenas inferior al necesario para su ebullicion, durante un periodo temporal reducido. A continuacion, el producto es enfriado con gran rapidez. De este modo se logra eliminar los microorganismos"
8,Las vaporizaciones
9,Para los que solo tienes facebook pues en pocas dice que tenemos que meternos a un horno y en pocas calentarnos a 72 grados celsius desaparece el virus y tambien nosotros
10,No pues q nos lleves al sol 
11,No salir de casa!!! 
12,?Sin salir de casa?
13,Eliminando el coe
14,Usar mascarilla... Resuelto 
15,Eso se sabia desde hace tiempo
16,Otra vez con las pseudonoticias ya hace algunos meses era de tantas medicinas milagrosas y otra vez con lo mismo
17,Tuvo? Ya sientese senora
18,Nestor Abel Fernandez Toncel Daniela Cardenas 
19,Vean senores es verdad q si le curan un senor desentiresada mente m esta curando yo estuve con un 90 por ciento apeorado
20,No salgan de casa si no es necesario.
21,Hay que noquearlo
22,Mayra Dennise 
23,"Srs @metroes TUBO de acero, no TUVO de acero"
24,Las gotitas milagrosas socialistas de maduro ?
25,A
26,"Paul Delgado Rengifo El, La son validos."
27,"Paul Delgado Rengifo pues asi tambien se escribe, quedaste  "
28,"Paul Delgado Rengifo Se refieren a ""La COVID-19""  asi, puesto que asi se llama la enfermedad que produce el  SARS-CoV-2 "
29,Esta bien dicho: Covi= Coronavirus D= Disease(enfermedad) 19= Ano en el que aparece Entonces significa: LA enfermedad del coranavirus 2019 LA COVID19 Antes de criticar primero investiga.
30,Tratado Del Libre Comercio De Memes Bien dicho jaja
31,"Fabricio Sanchez antes de justificar portadas de noticias deberias leer el articulo primero (hablan del covid-19 como virus, no como enfermedad.)"
32,Lean el articulo primero  y ponganse a repasar gramatica y sintaxis que al parecer a ustedes tambien les robaron en ls escuela 
33,Galo Vladimir Rosero Morales es correcto la covid 
34,Galo Vladimir Rosero Morales te dolio el ojo y el corazon leyendo eso??
35,David Andrade las nuevas generaciones js ja 
